state,abb,median_loan,average_loan,total_loan,num_loans,data,population,per_cap_loan,per_cap_num_loans,unemp_change,epop_change
North Carolina,NC,11200000,13803571.42857143,193250000,14,new_data,10488084,18.425672410709144,0.13348481953424476,2.4000000000000004,-2.8999999999999986
North Dakota,ND,4526232,4553706.4,22768532,5,new_data,762062,29.877532274276895,0.6561145943505909,2.3,-2.1999999999999886
Nebraska,NE,3550000,6900139.555555556,62101256,9,new_data,1934408,32.103494195640216,0.4652586217592152,0.30000000000000027,-1.7000000000000028
New Hampshire,NH,2773500,5218375,41747000,8,new_data,1359711,30.70284788458724,0.5883603206857928,1,-2
New Jersey,NJ,5000000,9837757.977777777,442699109,45,new_data,8882190,49.841211345400176,0.5066318103981112,4.1,-4.899999999999999
New Mexico,NM,5900000,5658102.166666667,33948613,6,new_data,2096829,16.190453775677465,0.28614636672804505,3.5999999999999996,-2.700000000000003
Nevada,NV,3482000,8459004.045454545,186098089,22,new_data,3080156,60.41839731494119,0.7142495380104125,4.8,-6.5
New York,NY,6000000,12728061.157894736,725499486,57,new_data,19453561,37.29391683095964,0.29300548110446206,5.000000000000001,-4.100000000000001
Ohio,OH,8000000,12697445.357142856,355528470,28,new_data,11689100,30.415384417962034,0.2395393999538031,0.7999999999999998,-1.7999999999999972
Oklahoma,OK,3532526,8184727.354366197,581115642.16,71,new_data,3956971,146.85870635898013,1.794301752527375,1.3000000000000003,-0.6999999999999957
Oregon,OR,2667614,6473252.416666667,77679029,12,new_data,4217737,18.41722919186284,0.2845127612271699,2.8000000000000003,-1.1000000000000014
Pennsylvania,PA,4000000,7876199.661960784,401686182.76,51,new_data,12801989,31.376857358649502,0.3983755961671268,2.5,-3.700000000000003
Puerto Rico,PR,6000000,14629700,73148500,5,new_data,3193694,22.90404152683382,0.15655851812978952,NA,NA
Rhode Island,RI,26900000,26900000,53800000,2,new_data,1059361,50.785331912350934,0.18879305543624883,3.4000000000000004,-4.600000000000001
South Carolina,SC,1475000,2124094.6666666665,12744568,6,new_data,5148714,2.4752914999745568,0.11653395391548259,2.6999999999999997,-2.3999999999999986
South Dakota,SD,1608000,2746329.7333333334,41194946,15,new_data,884659,46.565903924563024,1.6955685750102583,0.20000000000000018,0.29999999999999716
Tennessee,TN,4422112.5,9928073.5,218417617,22,new_data,6829174,31.98302122628593,0.3221473050767194,1.3999999999999995,-1.8999999999999986
Texas,TX,6838884,12676267.983836735,3105685656.04,245,new_data,28995881,107.10782183303897,0.8449475979019226,3.1999999999999997,-3.5
NA,USVI,2150000,2150000,2150000,1,new_data,NA,NA,NA,NA,NA
Utah,UT,4000000,11846364.6948,296159117.37,25,new_data,3205958,92.37772839506943,0.7797981133876365,0.7000000000000002,-1.8000000000000114
Virginia,VA,3262587,5228510.371428572,182997863,35,new_data,8535519,21.43957069277217,0.41005122242713066,2.8,-5
Vermont,VT,1000000,1000000,1000000,1,new_data,623989,1.602592353390845,0.16025923533908448,0.7000000000000002,-5.8999999999999915
Washington,WA,4290000,7247034.878787879,239152151,33,new_data,7614893,31.405845229867314,0.4333613092134059,2,-3.8000000000000043
Wisconsin,WI,5000000,10209914.11764706,173568540,17,new_data,5822434,29.810306136574496,0.2919741125446849,0.5,-1.2000000000000028
West Virginia,WV,14700000,17000000,68000000,4,new_data,1792147,37.94331603378517,0.22319597666932456,1.5,-1.1999999999999957
Wyoming,WY,5000000,4774133.333333333,14322400,3,new_data,578759,24.746742599251156,0.5183504705758355,0.6999999999999993,-1.6000000000000014
