abb,year,month,total,mean,num_loans,year_month,state,population,per_cap_loan,per_cap_num_loans,epop,unemp,epop_jan_2020,unemp_jan_2020,epop_change,unemp_change,unemp_diff,epop_diff,unemp_diff_in_diff,epop_diff_in_diff,unemp_month_change,epop_month_change
ID,2020,12,36235724,18117862,2,Dec 2020,Idaho,1787065,20.276668168197574,0.1119153472313542,60.8,3.8,62.4,2.6,-1.6000000000000014,1.1999999999999997,-2.2372549019607844,2.141176470588235,-1.4287581699346406,1.3344771241830062,-0.5,0
IL,2020,7,3600000,3600000,1,Jul 2020,Illinois,12671821,0.28409492211103676,0.007891525614195465,54.3,12,61.6,3.5,-7.300000000000004,8.5,2.9705882352941178,-2.4666666666666686,2.562418300653595,-2.7566993464052305,-2.1999999999999993,-0.4000000000000057
IL,2020,8,139400000,27880000,5,Aug 2020,Illinois,12671821,11.00078670618848,0.03945762807097733,55.8,11.1,61.6,3.5,-5.800000000000004,7.6,3.329411764705882,-1.705882352941181,2.9212418300653593,-1.9959150326797428,-0.9000000000000004,1.5
IL,2020,9,8600000,4300000,2,Sep 2020,Illinois,12671821,0.6786712028208101,0.01578305122839093,57.3,10.4,61.6,3.5,-4.300000000000004,6.9,3.272549019607843,-0.6333333333333329,2.8643790849673203,-0.9233660130718946,-0.6999999999999993,1.5
IL,2020,10,7400000,2466666.6666666665,3,Oct 2020,Illinois,12671821,0.5839728954504645,0.023674576842586396,58.5,8.1,61.6,3.5,-3.1000000000000014,4.6,1.6078431372549016,-0.039215686274509665,1.1996732026143786,-0.32924836601307145,-2.3000000000000007,1.2000000000000028
IL,2020,11,102600000,17100000,6,Nov 2020,Illinois,12671821,8.096705280164548,0.04734915368517279,56.9,8.1,61.6,3.5,-4.700000000000003,4.6,1.886274509803921,-1.5901960784313758,1.478104575163398,-1.8802287581699375,0,-1.6000000000000014
IL,2020,12,258309964.94,10332398.5976,25,Dec 2020,Illinois,12671821,20.384597047259426,0.19728814035488665,56.9,8,61.6,3.5,-4.700000000000003,4.5,1.9627450980392158,-1.7588235294117638,1.5545751633986928,-2.0488562091503257,-0.09999999999999964,0
IL,2021,1,6879000,1719750,4,Jan 2021,Illinois,12671821,0.5428580470005061,0.03156610245678186,57.1,7.7,61.6,3.5,-4.5,4.2,1.9176470588235297,-1.6882352941176464,1.5094771241830067,-1.9782679738562081,-0.2999999999999998,0.20000000000000284
IN,2020,9,40000000,40000000,1,Sep 2020,Indiana,6732219,5.941577361045444,0.014853943402613612,59.1,6.3,62.1,3.2,-3,3.0999999999999996,-0.8274509803921575,1.1666666666666714,-0.4939542483660138,0.3683006535947767,-1,0.8000000000000043
IN,2020,10,19602740,4900685,4,Oct 2020,Indiana,6732219,2.911779904961499,0.05941577361045445,59.7,5.6,62.1,3.2,-2.3999999999999986,2.3999999999999995,-0.8921568627450984,1.1607843137254932,-0.5586601307189547,0.3624183006535985,-0.7000000000000002,0.6000000000000014
